"","Logistic","Baryani","Gompertz","Buchanan"
"86",-3.42848044945078,-4.99969311680314,-36.8242460218325,7.36710991596989
"87",NA,NA,NA,NA
"88",NA,NA,NA,NA
"89",-106.897329546836,-117.315000683911,-143.953183743748,-78.1607992271562
"90",-84.3792639612913,-101.410327335776,-90.3464200191311,-86.2074956149561
"91",7.69332709509275,NA,NA,NA
"92",7.69210610324051,-4.34224980443346,0.353087110624251,-2.56574586734041
"93",-6.72703019344355,-13.6442321516635,-13.8298748280892,-14.1192581046569
"94",6.60542103335588,-1.32748270305336,-4.49304952622261,NA
"95",6.83246316708437,-17.7298921800683,-8.42444749917469,-17.2067225899871
"96",-3.16970441170801,-11.1830368372874,-11.3124907059809,-8.55735810219494
"97",-11.7187143185594,-266.69320361389,-260.229473160947,NA
"98",NA,NA,NA,NA
"99",-1.63325862432362,-11.5347553966418,-10.5130854590576,NA
"100",3.4970509058925,-9.19517835729745,-11.792717859509,-8.08016340811011
"101",-6.64771844011631,-9.32563036991157,-7.05384478015831,-8.28629071288965
"102",3.5659053223721,-23.097145813629,-20.4742557941423,NA
"103",-10.0977385461308,-10.9163055455077,-6.97344347401376,NA
"104",4.30787756321946,-15.7429777835916,-10.3262444185492,-11.336405155412
"105",14.043104285565,-7.85700401811462,-10.6250602415615,-3.38265488866734
"106",1.00925218975796,-10.1561559816999,-14.7395869009214,NA
"107",3.17286407755894,-9.91417135923709,-5.45705685746593,-12.0229937309079
"108",-3.75532053308778,-26.1882457000062,-30.6793131902081,-3.50644347583673
"109",-4.58813029982238,-7.98044635521929,-5.74438563386427,NA
"110",-4.97816997173018,-6.02029093084564,-6.32368828345994,NA
"111",12.1506092347224,-4.03117026509603,-2.69961999228871,-5.16990692208337
"112",-3.75628131672041,-14.6419291857971,-22.3797316419612,NA
"113",-10.4696787052106,-9.3786163327522,-9.33085437826832,-8.44401002672718
"114",0.522638140320688,-7.27632546332537,-13.746189129306,NA
"115",-9.96893607088722,-11.9614211177518,-18.9751476543405,-5.69110798061592
"116",1.53769903129455,1.03924964411829,-5.42685246880286,NA
"117",8.92779641525061,-12.8965659941838,-12.7352825434587,-10.7553514052809
